osm_node_id,lat,lon,node_type
osm_node_25.5233165_91.4407084,25.5233165,91.4407084,osm_network_node
osm_node_25.5233989_91.4407808,25.5233989,91.4407808,osm_network_node
osm_node_25.5234695_91.4408518,25.5234695,91.4408518,osm_network_node
osm_node_25.5234981_91.4409739,25.5234981,91.4409739,osm_network_node
osm_node_25.5235069_91.4410978,25.5235069,91.4410978,osm_network_node
osm_node_25.5234801_91.4412871,25.5234801,91.4412871,osm_network_node
osm_node_25.5234484_91.4416086,25.5234484,91.4416086,osm_network_node
osm_node_25.5234036_91.4418687,25.5234036,91.4418687,osm_network_node
osm_node_25.5231478_91.4421522,25.5231478,91.4421522,osm_network_node
osm_node_25.5230792_91.4424444,25.5230792,91.4424444,osm_network_node
osm_node_25.5230897_91.4427162,25.5230897,91.4427162,osm_network_node
osm_node_25.5230818_91.4428916,25.5230818,91.4428916,osm_network_node
osm_node_25.5230713_91.44314,25.5230713,91.44314,osm_network_node
osm_node_25.5230528_91.4432774,25.5230528,91.4432774,osm_network_node
osm_node_25.5229921_91.4434118,25.5229921,91.4434118,osm_network_node
osm_node_25.5228603_91.4435346,25.5228603,91.4435346,osm_network_node
osm_node_25.5227231_91.4436485,25.5227231,91.4436485,osm_network_node
osm_node_25.5226493_91.4438327,25.5226493,91.4438327,osm_network_node
osm_node_25.5225675_91.4444844,25.5225675,91.4444844,osm_network_node
osm_node_25.5226229_91.4448351,25.5226229,91.4448351,osm_network_node
osm_node_25.522644_91.44518,25.522644,91.44518,osm_network_node
osm_node_25.5225992_91.4454021,25.5225992,91.4454021,osm_network_node
osm_node_25.5225148_91.4456388,25.5225148,91.4456388,osm_network_node
osm_node_25.5224409_91.4458142,25.5224409,91.4458142,osm_network_node
osm_node_25.5224568_91.4461035,25.5224568,91.4461035,osm_network_node
osm_node_25.5225042_91.4465185,25.5225042,91.4465185,osm_network_node
osm_node_25.5226282_91.4468137,25.5226282,91.4468137,osm_network_node
osm_node_25.5226836_91.4471118,25.5226836,91.4471118,osm_network_node
osm_node_25.522644_91.4473807,25.522644,91.4473807,osm_network_node
osm_node_25.5224937_91.4478454,25.5224937,91.4478454,osm_network_node
osm_node_25.5223565_91.4481961,25.5223565,91.4481961,osm_network_node
osm_node_25.5223328_91.4483627,25.5223328,91.4483627,osm_network_node
osm_node_25.5224146_91.4485381,25.5224146,91.4485381,osm_network_node
osm_node_25.5225069_91.4486608,25.5225069,91.4486608,osm_network_node
osm_node_25.5226546_91.4487076,25.5226546,91.4487076,osm_network_node
osm_node_25.5227337_91.4488625,25.5227337,91.4488625,osm_network_node
osm_node_25.5227284_91.4490729,25.5227284,91.4490729,osm_network_node
osm_node_25.5226809_91.4492483,25.5226809,91.4492483,osm_network_node
osm_node_25.5225702_91.4493184,25.5225702,91.4493184,osm_network_node
osm_node_25.5224304_91.4493535,25.5224304,91.4493535,osm_network_node
osm_node_25.5222669_91.4493973,25.5222669,91.4493973,osm_network_node
osm_node_25.5221508_91.4494528,25.5221508,91.4494528,osm_network_node
